Polling Firm,Date,V,A,O,B,F,Ø,I,C,K,Lead,"Red (A+B+F+Ø)","Blue (V+O+I+C+K)"
Voxmeter,9/14/2014,25.9,22.7,17.7,7.2,7.2,8.3,5.3,4.8,0.4,3.2,45.4,54.1
Gallup,9/11/2014,22.5,21.7,18.5,9.1,6.2,9.8,6.2,5.2,0.4,0.8,46.8,52.8
Wilke,9/7/2014,24.4,22.4,18.9,8.7,7.2,7.9,4.5,5.0,1.0,2.0,46.2,53.8
Voxmeter,9/7/2014,25.3,22.4,18.1,7.4,7.8,8.9,4.7,4.6,0.5,2.9,46.5,53.2
Voxmeter,8/31/2014,23.4,22.1,18.9,8.9,7.3,8.8,4.6,5.3,0.4,1.3,47.1,52.6
Megafon,8/28/2014,23.4,20.9,20,7.8,7.1,8.9,5.8,5.3,0.8,2.5,44.7,55.3
Greens,8/27/2014,22.8,20.5,17.5,8.2,7,10.4,5.9,5.9,1.4,2.3,46.1,53.5
Voxmeter,8/24/2014,22.7,21.4,19.5,8.8,7.1,9.1,4.8,5.6,0.6,1.3,46.4,53.2
Voxmeter,8/17/2014,23.1,20.8,19.7,8.6,7.5,8.3,5.1,6.2,0.4,2.3,45.2,54.5
Epinion,8/14/2014,23.6,20.7,20.3,7.9,6.4,9.6,5.2,5.8,0.5,2.9,44.6,55.4
Voxmeter,8/10/2014,23.5,21.4,20.3,8.7,7.7,7.8,4.7,5.5,0.1,2.1,45.6,54.1
Wilke,8/10/2014,22.8,22.2,18.3,9.6,6.9,8.8,5.2,5.3,0.9,0.6,47.5,52.5
Gallup,8/7/2014,23.8,21.3,19.4,7.7,6.5,10.1,5.1,5.2,0.5,2.5,45.6,54
Greens,7/30/2014,21.6,22.0,20.9,9.1,5.7,8.1,6.6,4.8,0.9,0.4,44.9,53.9
Gallup,7/11/2014,21.3,21.6,21.5,8.7,5.5,10.4,5.2,4.6,0.4,0.1,46.2,53
Rambøll,7/6/2014,22.7,21.6,20.4,9,6,9.6,5.3,4.8,0.6,1.1,46.2,53.8
Wilke,7/6/2014,22.7,21.6,20.4,9.0,6.0,9.6,5.3,4.8,0.6,1.1,46.2,53.8
Voxmeter,6/29/2014,23.2,23.7,17.9,9.6,6.9,8.6,5.1,4.5,0.2,0.5,48.8,50.9
Megafon,6/26/2014,20.7,22.4,21.4,8.9,6,9.9,4.8,5.3,0.6,1,47.2,52.8
Voxmeter,6/22/2014,22.1,22.8,18.7,10.1,6.8,8.4,5.5,4.7,0.4,0.7,48.1,51.4
